GID,COND,DAY,H,HUMD,OU,PTSH,PTSV,SEAS,SPRV,STAD,SURF,TEMP,V,WDIR,WEEK,WSPD
52,Dome,SUN,NO,\N,37.0,7,21,2000,1.5,Louisiana Superdome,AstroTurf,92.0,PHI,\N,4,\N
53,Clear,SUN,OAK,35,41.5,36,10,2000,10.0,Network Associates Coliseum,Grass,76.0,CLE,SW,4,5
54,Chance Rain,SUN,PIT,\N,36.0,20,23,2000,-7.0,Three Rivers Stadium,AstroTurf,61.0,TEN,NW,4,16
55,Sunny,SUN,SD,52,36.0,12,20,2000,-2.5,Qualcomm Stadium,Grass,72.0,SEA,WSW,4,9
56,Rain,SUN,TB,89,36.5,17,21,2000,7.5,Raymond James Stadium,Grass,82.0,NYJ,SW,4,9
57,Partly Cloudy,SN,NYG,75,41.5,6,16,2000,2.0,Giants Stadium,Grass,64.0,WAS,NW,4,9
58,Dome,MN,IND,\N,49.0,43,14,2000,3.5,RCA Dome,AstroTurf,72.0,JAC,\N,4,\N
59,Sunny,SUN,BUF,52,44.5,16,18,2000,2.5,Ralph Wilson Stadium,AstroTurf,70.0,IND,SW,5,10
60,Partly Cloudy,SUN,CAR,58,47.5,13,16,2000,6.5,Ericsson Stadium,Grass,71.0,DAL,NE,5,14
61,Partly Cloudy,SUN,CIN,78,32.5,16,31,2000,-7.0,Paul Brown Stadium,Grass,76.0,MIA,SW,5,6
62,Sunny,SUN,CLE,59,37.5,0,12,2000,-8.0,Cleveland Browns Stadium,Grass,70.0,BAL,S,5,12
63,Sunny,SUN,DEN,18,42.0,19,28,2000,8.5,Mile High Stadium,Grass,80.0,NE,SE,5,6
64,Dome,SUN,DET,\N,44.0,24,31,2000,-1.5,Pontiac Silverdome,AstroTurf,73.0,MIN,\N,5,\N
65,Partly Sunny,SUN,GB,56,41.0,24,27,2000,6.0,Lambeau Field,Grass,72.0,CHI,SW,5,12
66,Chance Rain,SUN,JAC,\N,38.0,13,24,2000,10.5,Alltel Stadium,Grass,76.0,PIT,NE,5,14
67,Sunny,SUN,SF,58,47.5,27,20,2000,4.0,3COM Park,Grass,72.0,ARI,WNW,5,10
68,Dome,SUN,STL,\N,52.0,57,31,2000,17.0,Trans World Dome,AstroTurf,,SD,\N,5,\N
69,Cloudy,SUN,TEN,84,38.0,28,14,2000,4.0,Adelphia Coliseum,Grass,72.0,NYG,SE,5,5
70,Partly Sunny,SUN,WAS,87,35.5,20,17,2000,2.0,FedExField,Grass,68.0,TB,NE,5,6
71,Mostly Cloudy,SN,PHI,59,41.0,38,10,2000,3.0,Veterans Stadium,AstroTurf,68.0,ATL,W,5,8
72,Clear,MN,KC,53,40.0,24,17,2000,4.5,Arrowhead Stadium,Grass,74.0,SEA,N,5,8
73,\N,SUN,ARI,25,39.5,29,21,2000,4.5,Sun Devil Stadium,Grass,87.0,CLE,SE,6,15
74,Dome,SUN,ATL,\N,41.5,6,13,2000,-1.0,Georgia Dome,AstroTurf,54.0,NYG,\N,6,\N
75,Cloudy,SUN,CAR,39,42.5,26,3,2000,3.5,Ericsson Stadium,Grass,50.0,SEA,N,6,8
76,Partly Sunny,SUN,CHI,45,38.0,10,31,2000,3.5,Soldier Field,Grass,47.0,NO,NW,6,16
77,Cloudy,SUN,CIN,83,38.0,14,23,2000,-9.5,Paul Brown Stadium,Grass,44.0,TEN,NW,6,10
78,Dome,SUN,DET,\N,42.5,31,24,2000,3.0,Silverdome,AstroTurf,62.0,GB,\N,6,\N
79,Partly Sunny,SUN,MIA,67,34.0,22,13,2000,1.0,Pro Player Stadium,Grass,85.0,BUF,NE,6,8
80,Partly Cloudy,SUN,NE,\N,44.0,24,16,2000,-3.5,Foxboro Stadium,Grass,55.0,IND,NW,6,20
81,Sunny,SUN,NYJ,72,37.5,3,20,2000,7.0,The Meadowlands,Grass,54.0,PIT,WNW,6,10
82,Partly Sunny,SUN,PHI,56,37.0,14,17,2000,-3.0,Veterans Stadium,AstroTurf,49.0,WAS,W,6,15
83,Sunny,SUN,SD,82,44.5,7,21,2000,-7.0,Qualcomm Stadium,Grass,68.0,DEN,WSW,6,7
84,Sunny,SUN,SF,60,50.0,28,34,2000,-4.5,3COM Park,Grass,66.0,OAK,VAR,6,10
85,Chance Rain,SN,JAC,\N,37.5,10,15,2000,2.5,Alltel Stadium,Grass,62.0,BAL,NE,6,11
86,Dome,MN,MIN,\N,40.5,30,23,2000,2.0,Metrodome,AstroTurf,64.0,TB,\N,6,\N
87,Clear,SUN,ARI,24,39.0,14,33,2000,-2.5,Sun Devil Stadium,Grass,80.0,PHI,VAR,7,3
88,Mostly Cloudy,SUN,BUF,78,37.0,27,24,2000,10.0,Ralph Wilson Stadium,AstroTurf,63.0,SD,WSW,7,7
89,Sunny,SUN,DEN,32,44.0,44,10,2000,12.5,Mile High Stadium,Grass,59.0,CLE,NE,7,7
90,Chance Rain,SUN,GB,74,50.5,31,28,2000,4.0,Lambeau Field,Grass,54.0,SF,NE,7,4
91,Cloudy,SUN,KC,96,44.0,17,20,2000,3.0,Arrowhead Stadium,Grass,62.0,OAK,NE,7,8
92,Cloudy,SUN,NE,\N,37.0,17,34,2000,3.0,Foxboro Stadium,Grass,76.0,NYJ,SW,7,10
93,Dome,SUN,NO,\N,40.0,24,6,2000,1.5,Louisiana Superdome,Grass,74.0,CAR,\N,7,\N
94,Partly Sunny,SUN,NYG,60,40.0,19,14,2000,3.5,Giants Stadium,Grass,75.0,DAL,N,7,7
95,Cloudy,SUN,PIT,\N,37.0,15,0,2000,7.5,Three Rivers Stadium ,AstroTurf,61.0,CIN,\N,7,\N
96,Cloudy,SUN,SEA,70,44.0,24,37,2000,-6.0,Husky Stadium,FieldTurf,45.0,IND,S,7,10
97,Dome,SUN,STL,\N,58.5,45,29,2000,17.5,Trans World Dome,AstroTurf,,ATL,\N,7,\N
98,\N,SUN,WAS,70,34.5,10,3,2000,3.5,FedExField,Grass,75.0,BAL,CALM,7,0
99,Rain,SN,CHI,80,45.5,16,28,2000,-7.0,Soldier Field,Grass,56.0,MIN,NE,7,7
100,Cloudy,MN,TEN,52,40.5,27,13,2000,7.0,Adelphia Coliseum,Grass,74.0,JAC,NE,7,6
101,Clear,THU,TB,72,37.5,14,28,2000,8.5,Raymond James Stadium,Grass,76.0,DET,W,8,5
102,Dome,SUN,ATL,\N,39.0,19,21,2000,-2.5,Georgia Dome,AstroTurf,68.0,NO,\N,8,\N
103,Mostly Sunny,SUN,BAL,\N,34.5,6,14,2000,1.0,PSINet Stadium,Grass,64.0,TEN,N,8,13
104,Sunny,SUN,CAR,48,51.0,34,16,2000,3.0,Ericsson Stadium,Grass,76.0,SF,NE,8,7
105,Partly Cloudy,SUN,CIN,88,42.5,31,21,2000,-10.5,Paul Brown Stadium,Grass,73.0,DEN,NE,8,2
106,Rain,SUN,DAL,100,42.5,48,7,2000,6.5,Texas Stadium,AstroTurf,70.0,ARI,SE,8,10
107,Dome,SUN,IND,\N,47.0,30,23,2000,8.5,RCA Dome,AstroTurf,72.0,NE,\N,8,\N
108,Chance Rain,SUN,JAC,\N,37.0,16,35,2000,-4.0,Alltel Stadium,Grass,79.0,WAS,E,8,15
109,Cloudy,SUN,KC,90,55.5,54,34,2000,-7.0,Arrowhead Stadium,Grass,64.0,STL,SE,8,14
110,Dome,SUN,MIN,\N,44.5,31,27,2000,6.0,Metrodome,AstroTurf,62.0,BUF,\N,8,\N
111,Clear,SUN,OAK,18,43.0,31,3,2000,7.0,Network Associates Coliseum,Grass,70.0,SEA,NE,8,31
112,Mostly Sunny,SUN,PHI,51,41.0,13,9,2000,7.0,Veterans Stadium,AstroTurf,59.0,CHI,NE,8,10
113,Sunny,SUN,PIT,\N,35.0,22,0,2000,12.5,Three Rivers Stadium,AstroTurf,75.0,CLE,VAR,8,\N
114,Clear,MN,NYJ,96,35.0,40,37,2000,3.0,The Meadowlands,Grass,51.0,MIA,SSW,8,3
115,Partly Cloudy,SUN,ARI,49,40.0,10,21,2000,-6.5,Sun Devil Stadium,Grass,70.0,NO,S,9,9
116,Dome,SUN,ATL,\N,44.5,13,12,2000,-3.0,Georgia Dome,AstroTurf,70.0,CAR,\N,9,\N
117,Sunny,SUN,BAL,\N,33.5,6,9,2000,6.0,PSINet Stadium,Grass,53.0,PIT,NNE,9,18
118,Sunny,SUN,BUF,41,40.5,23,20,2000,4.5,Ralph Wilson Stadium,AstroTurf,46.0,NYJ,N,9,6
119,Sunny,SUN,CLE,\N,35.0,3,12,2000,-3.0,Cleveland Browns Stadium,Grass,50.0,CIN,N,9,9
120,Cloudy,SUN,DAL,90,45.0,17,23,2000,3.5,Texas Stadium,AstroTurf,72.0,JAC,S,9,13
121,Dome,SUN,IND,\N,48.0,30,18,2000,7.0,RCA Dome,AstroTurf,,DET,\N,9,\N
122,Mostly Sunny,SUN,MIA,50,39.0,28,20,2000,3.5,Pro Player Stadium,Grass,81.0,GB,E,9,13
123,Light Rain,SUN,NYG,52,34.5,24,7,2000,3.5,Giants Stadium,Grass,45.0,PHI,N,9,20
124,Mostly Cloudy,SUN,SF,65,61.5,24,34,2000,-6.5,3Com Park,Grass,60.0,STL,WSW,9,13
125,Mostly Sunny,SUN,SEA,80,41.5,19,24,2000,-3.5,Husky Stadium,FieldTurf,52.0,KC,W,9,5
126,Chance Rain,SUN,TB,74,41.0,41,13,2000,3.0,Raymond James Stadium,Grass,82.0,MIN,WSW,9,7
127,Partly Cloudy,SN,SD,82,42.5,13,15,2000,-7.0,Qualcomm Stadium,Grass,63.0,OAK,WSW,9,8
128,Clear,MN,WAS,38,38.5,21,27,2000,3.5,FedExField,Grass,54.0,TEN,NE,9,9
129,Partly Cloudy,SUN,ARI,52,40.0,16,15,2000,-9.5,Sun Devil Stadium,Grass,65.0,WAS,SW,10,8
130,Dome,SUN,ATL,\N,40.0,14,27,2000,-8.5,Georgia Dome,AstroTurf,63.0,TB,\N,10,\N
131,Sunny,SUN,CHI,40,47.0,27,24,2000,-7.0,Soldier Field,Grass,57.0,IND,S,10,12
132,Sunny,SUN,CIN,56,32.5,7,27,2000,-6.5,Paul Brown Stadium,Grass,57.0,BAL,SE,10,5
133,Sunny,SUN,CLE,\N,33.5,3,24,2000,-10.5,Cleveland Browns Stadium,Grass,49.0,NYG,N,10,11
134,Dome,SUN,DET,\N,39.0,8,23,2000,2.5,Pontiac Silverdome,AstroTurf,68.0,MIA,\N,10,\N
135,Light Rain,SUN,NE,95,38.0,13,16,2000,2.0,Foxboro Stadium,Grass,46.0,BUF,N,10,20
136,Dome,SUN,NO,\N,47.5,31,15,2000,5.0,Louisiana Superdome,AstroTurf,79.0,SF,\N,10,\N
137,Partly Cloudy,SUN,NYJ,50,46.5,23,30,2000,2.5,The Meadowlands,Grass,51.0,DEN,NW,10,20
138,Mostly Cloudy,SUN,OAK,77,45.0,49,31,2000,3.0,Network Associates Coliseum,Grass,66.0,KC,W,10,7
139,Mostly Cloudy,SUN,PHI,53,40.0,16,13,2000,3.0,Veterans Stadium,AstroTurf,52.0,DAL,NW,10,18
140,Rain,SUN,SEA,100,39.0,17,15,2000,3.5,Husky Stadium,FieldTurf,48.0,SD,S,10,8
141,Sunny,SUN,TEN,64,35.5,9,7,2000,7.5,Adelphia Coliseum,Grass,56.0,PIT,E,10,9
142,Dome,SN,STL,\N,58.5,24,27,2000,13.5,Trans World Dome,AstroTurf,,CAR,\N,10,\N
143,Rain,MN,GB,77,47.5,26,20,2000,-3.5,Lambeau Field,Grass,50.0,MIN,E,10,22
144,Cloudy,SUN,BUF,82,39.5,20,3,2000,7.0,Ralph Wilson Stadium,AstroTurf,40.0,CHI,NE,11,10
145,Mostly Cloudy,SUN,CAR,48,37.5,10,20,2000,1.5,Ericsson Stadium,Grass,57.0,NO,NE,11,3
146,Mostly Sunny,SUN,CLE,\N,32.5,19,11,2000,-7.0,Cleveland Browns Stadium,Grass,44.0,NE,E,11,10
147,Light Rain,SUN,DAL,93,37.5,23,6,2000,7.0,Texas Stadium,AstroTurf,50.0,CIN,N,11,15
148,Dome,SUN,DET,\N,40.5,13,10,2000,7.5,Pontiac Silverdome,AstroTurf,68.0,ATL,\N,11,\N
149,Clear,SUN,JAC,\N,41.0,21,28,2000,8.5,Alltel Stadium,Grass,69.0,SEA,NE,11,8
150,Dome,SUN,MIN,\N,48.0,31,14,2000,13.5,Metrodome,AstroTurf,65.0,ARI,\N,11,\N
151,Partly Sunny,SUN,NYG,62,48.5,24,38,2000,-1.5,Giants Stadium,Grass,54.0,STL,NE,11,8
152,Cloudy,SUN,PIT,82,32.0,23,26,2000,3.5,Three Rivers Stadium,AstroTurf,47.0,PHI,ESE,11,7
153,Sunny,SUN,SD,69,33.5,7,17,2000,-5.5,Qualcomm Stadium,Grass,63.0,MIA,WSW,11,7
154,Sunny,SUN,SF,61,54.0,21,7,2000,-4.0,3COM Park,Grass,54.0,KC,E,11,4
155,Clear,SUN,TB,51,43.0,20,15,2000,9.0,Raymond James Stadium,Grass,75.0,GB,SW,11,7
156,Partly Sunny,SUN,TEN,61,33.5,23,24,2000,4.0,Adelphia Coliseum,Grass,56.0,BAL,SW,11,3
157,Dome,SN,IND,\N,51.5,23,15,2000,6.0,RCA Dome,AstroTurf,72.0,NYJ,\N,11,\N
158,Clear,MN,DEN,37,48.5,27,24,2000,3.5,Mile High Stadium,Grass,20.0,OAK,SE,11,3
159,Fair,SUN,BAL,49,37.0,27,0,2000,8.0,PSINet Stadium,Grass,43.0,DAL,W,12,3
160,Cloudy,SUN,CHI,64,35.0,13,10,2000,-7.0,Soldier Field,Grass,37.0,TB,W,12,15
161,Mostly Sunny,SUN,DEN,49,41.0,38,37,2000,9.0,Mile High Stadiumj,Grass,39.0,SD,NE,12,13
162,Light Snow,SUN,GB,93,44.5,26,24,2000,-4.5,Lambeau Field,Grass,27.0,IND,S,12,8
163,Clear,SUN,KC,52,42.0,17,21,2000,3.0,Arrowhead Stadium,Grass,46.0,BUF,WNW,12,15
164,Mostly Sunny,SUN,MIA,63,39.5,3,20,2000,3.5,Pro Player Stadium,Grass,83.0,NYJ,S,12,12
165,Dome,SUN,MIN,\N,47.5,31,17,2000,9.5,Metrodome,AstroTurf,65.0,CAR,\N,12,\N
166,Partly Cloudy,SUN,NE,\N,35.5,16,13,2000,7.0,Foxboro Stadium,Grass,47.0,CIN,WSW,12,15
167,Dome,SUN,NO,\N,42.0,22,31,2000,-3.0,Louisiana Superdome,AstroTurf,44.0,OAK,\N,12,\N
168,Mostly Cloudy,SUN,NYG,58,35.5,21,31,2000,6.5,Giants Stadium,Grass,40.0,DET,NW,12,9
169,Cloudy,SUN,PHI,55,38.0,34,9,2000,8.0,Veterans Stadium,AstroTurf,39.0,ARI,W,12,10
170,Fair,SUN,SF,60,48.0,16,6,2000,6.0,3COM Park,Grass,57.0,ATL,N,12,3
171,Sunny,SUN,TEN,38,35.5,24,10,2000,16.0,Adelphia Coliseum,Grass,44.0,CLE,SW,12,6
172,Partly Cloudy,SN,PIT,45,37.0,24,34,2000,3.5,Three Rivers Stadium,AstroTurf,35.0,JAC,SW,12,6
173,Dome,MN,STL,\N,55.5,20,33,2000,6.0,Trans World Dome,AstroTurf,,WAS,\N,12,\N
174,Rain,THU,DAL,93,48.5,15,27,2000,-7.5,Texas Stadium,AstroTurf,55.0,MIN,\N,13,\N
175,Dome,THU,DET,\N,38.5,34,9,2000,6.5,Pontiac Silverdome,AstroTurf,68.0,NE,\N,13,\N
176,Rain,SUN,BAL,97,33.0,44,7,2000,17.0,PSINet Stadium,Grass,55.0,CLE,W,13,10
177,Chance Rain,SUN,CIN,89,33.5,28,48,2000,-4.5,Paul Brown Stadium,Grass,46.0,PIT,SW,13,12
178,Dome,SUN,IND,\N,43.5,14,17,2000,7.0,RCA Dome,AstroTurf,72.0,MIA,\N,13,\N
179,Clear,SUN,JAC,\N,41.5,16,13,2000,-3.0,Alltel Stadium,Grass,62.0,TEN,SW,13,7
180,Rain,SUN,NYJ,100,36.5,17,10,2000,7.0,The Meadowlands,Grass,53.0,CHI,N,13,11
181,Mostly Sunny,SUN,OAK,60,44.0,41,14,2000,12.0,Network Associates Coliseum,Grass,57.0,ATL,S,13,8
182,Sunny,SUN,SD,66,41.5,17,16,2000,-3.0,Qualcomm Stadium,Grass,69.0,KC,WSW,13,8
183,Rain,SUN,SEA,90,44.5,31,38,2000,-3.0,Husky Stadium,FieldTurf,48.0,DEN,N,13,9
184,Dome,SUN,STL,\N,53.0,24,31,2000,13.5,Trans World Dome,AstroTurf,,NO,\N,13,\N
185,Chance Rain,SUN,TB,95,36.0,31,17,2000,3.5,Raymond James Stadium,Grass,67.0,BUF,SE,13,8
186,Partly Cloudy,SUN,WAS,88,37.0,20,23,2000,6.5,FedExField,Grass,50.0,PHI,W,13,5
187,Clear,SN,ARI,25,38.5,7,31,2000,-7.5,Sun Devil Stadium,Grass,64.0,NYG,W,13,3
188,Partly Cloudy,MN,CAR,69,45.0,31,14,2000,-2.5,Ericsson Stadium,Grass,46.0,GB,WSW,13,3
189,Dome,THU,MIN,\N,48.0,24,17,2000,8.5,Metrodome,AstroTurf,65.0,DET,\N,14,\N
190,Dome,SUN,ATL,\N,41.0,10,30,2000,1.0,Georgia Dome,AstroTurf,36.0,SEA,\N,14,\N
191,Mostly Sunny,SUN,BUF,75,35.5,6,33,2000,3.0,Ralph Wilson Stadium,AstroTurf,27.0,MIA,SW,14,6
192,Cloudy,SUN,CAR,50,53.5,16,3,2000,-8.0,Ericsson Stadium,Grass,34.0,STL,N,14,16
193,Mostly Sunny,SUN,CIN,63,38.5,24,13,2000,4.0,Paul Brown Stadium,Grass,32.0,ARI,NE,14,12
194,Chance Rain,SUN,JAC,\N,39.0,48,0,2000,15.0,Alltel Stadium,Grass,46.0,CLE,N,14,10
195,Dome,SUN,NO,\N,45.0,23,38,2000,1.0,Louisiana Superdome,AstroTurf,43.0,DEN,\N,14,\N
196,Clear,SUN,NYJ,32,44.0,27,17,2000,2.0,The Meadowlands,Grass,35.0,IND,N,14,5
197,Partly Cloudy,SUN,PHI,39,35.5,13,15,2000,-3.0,Veterans Stadium,AstroTurf,30.0,TEN,N,14,7
198,Mostly Sunny,SUN,PIT,88,42.5,21,20,2000,-3.0,Three Rivers Stadium,AstroTurf,33.0,OAK,NNE,14,5
199,Sunny,SUN,SD,71,43.5,17,45,2000,-3.0,Qualcomm Stadium,Grass,66.0,SF,WSW,14,9
200,Cloudy,SUN,TB,82,37.0,27,7,2000,10.5,Raymond James Stadium,Grass,63.0,DAL,N,14,12
201,Mostly Sunny,SUN,WAS,62,36.5,7,9,2000,6.0,FedExField,Grass,30.0,NYG,NE,14,14
202,Clear,SN,CHI,77,39.5,6,28,2000,-2.5,Soldier Field,Grass,33.0,GB,S,14,6
203,Clear,MN,NE,42,40.0,30,24,2000,0.0,Foxboro Stadium,Grass,45.0,KC,S,14,10
204,Light Rain,SUN,BAL,62,35.5,24,3,2000,15.0,PSINet Stadium,Grass,39.0,SD,NE,15,2
205,Flurries,SUN,CHI,85,36.0,24,17,2000,2.0,Soldier Field,Grass,36.0,NE,NW,15,12
206,Partly Sunny,SUN,CLE,\N,34.0,24,35,2000,-14.0,Cleveland Browns Stadium,Grass,33.0,PHI,S,15,9
207,Partly Cloudy,SUN,DAL,72,39.0,32,13,2000,-6.5,Texas Stadium,AstroTurf,66.0,WAS,N,15,15
208,Cloudy,SUN,DEN,91,45.0,31,24,2000,10.5,Mile High Stadium,Grass,22.0,SEA,E,15,10
209,Partly Cloudy,SUN,GB,74,39.0,26,13,2000,4.0,Lambeau Field,Grass,25.0,DET,NW,15,13
210,Rain,SUN,JAC,\N,42.5,44,10,2000,17.0,Alltel Stadium,Grass,61.0,ARI,N,15,6
211,Cloudy,SUN,KC,85,41.0,15,14,2000,2.5,Arrowhead Stadium,Grass,30.0,CAR,NW,15,13
212,Cloudy,SUN,MIA,96,34.0,13,16,2000,3.0,Pro Player Stadium,Grass,73.0,TB,VAR,15,5
213,Mostly Cloudy,SUN,NYG,67,35.0,30,10,2000,3.5,Giants Stadium,Grass,37.0,PIT,VAR,15,7
214,Chance Rain,SUN,SF,80,47.0,27,31,2000,3.0,3COM Park,Grass,55.0,NO,W,15,13
215,Dome,SUN,STL,\N,58.5,40,29,2000,3.5,Trans World Dome,AstroTurf,,MIN,\N,15,\N
216,Mostly Cloudy,SUN,TEN,80,36.0,35,3,2000,13.0,Adelphia Coliseum,Grass,52.0,CIN,S,15,7
217,Cloudy,SN,OAK,74,46.5,31,7,2000,3.5,Network Associates Coliseum,Grass,54.0,NYJ,W,15,9
218,Dome,MN,IND,\N,47.5,44,20,2000,7.0,RCA Dome,AstroTurf,72.0,BUF,\N,15,\N
219,Cloudy,SAT,PIT,79,37.0,24,3,2000,2.0,Three Rivers Stadium,AstroTurf,44.0,WAS,\N,16,\N
220,Rain,SAT,SEA,63,45.5,27,24,2000,-7.0,Husky Stadium,FieldTurf,52.0,OAK,S,16,21
221,Clear,SUN,ARI,16,37.5,7,13,2000,-16.5,Sun Devil Stadium,Grass,68.0,BAL,W,16,3
222,Light Snow,SUN,BUF,85,36.5,10,13,2000,4.5,Ralph Wilson Stadium,AstroTurf,35.0,NE,SW,16,25
223,Mostly Cloudy,SUN,CAR,67,37.5,30,22,2000,7.5,Ericsson Stadium,Grass,36.0,SD,WSW,16,15
